domain,avg_monthly_visits,latest_visits,global_rank,avg_bounce_rate,pct_search,pct_direct,pct_social,pct_display,pct_referral,pct_email
hims.com,7753827,9893945,4601,58.1,0,0,0,0,0,0
ro.co,7331455,8232495,4785,44.3,0,0,0,0,0,0
kindpatches.com,2275661,2044843,26433,43.7,0,0,0,0,0,0
cymbiotika.com,925690,1005897,57650,54.3,0,0,0,0,0,0
peptidesciences.com,608185,45003,824620,52.1,0,0,0,0,0,0
agelessrx.com,525413,542867,68842,36.3,0,0,0,0,0,0
swisschems.is,363164,298903,119726,37.1,0,0,0,0,0,0
rhonutrition.com,331864,360483,111628,47.2,0,0,0,0,0,0
openloophealth.com,110811,154842,137590,45.3,0,0,0,0,0,0
defymedical.com,62159,51635,669784,52.7,0,0,0,0,0,0
magnali.com,16604,27827,1203445,68.4,0,0,0,0,0,0
evolvetelemed.com,15923,9744,2113714,42.1,0,0,0,0,0,0
paradigmpeptides.com,6062,3097,5873457,59.7,0,0,0,0,0,0
noholabs.com,2966,5428,3082195,32.3,0,0,0,0,0,0
alunascience.com,0,0,0,0,0,0,0,0,0,0
